NO,NO. NOTA PENJUALAN,TANGGAL PENJUALAN,NAMA PENJUAL,NAMA PEMBELI,Ur Barang,Jumlah Satuan,Kd Satuan,Netto,Bruto,Fob Valuta,KODE VALUTA,NDPBM,FOB DALAM RUPIAH
2561,002564,7/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, DIA: 88.9 MM - THK: 7.62 MM TUBULAR STD.: - - MATERIAL: API 5L GRADE B - NT #NON COMMERCIAL VALUE",10.00,PCE,"1,588.08","1,588.08","2,850.64",USD,"15,013.00","42,796,658.32"
2562,002564,7/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"""NEW, PIPE 4"""" OD 114.3MM X 8.56MM WT FOR JACKET BUOYANCY TANK #NON COMMERCIAL VALUE""",10.00,PCE,"1,344.38","1,344.38","2,410.20",USD,"15,013.00","36,184,332.60"
2563,002564,7/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"""NEW, PIPE 4"""" OD 114.3MM X 8.56MM WT FOR JACKET BUOYANCY TANK #NON COMMERCIAL VALUE""",10.00,PCE,"1,344.38","1,344.38","2,410.20",USD,"15,013.00","36,184,332.60"
2564,002564,7/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"""NEW, PIPE 4"""" OD 114.3MM X 8.56MM WT FOR JACKET BUOYANCY TANK #NON COMMERCIAL VALUE""",11.00,PCE,"1,478.82","1,478.82","2,651.22",USD,"15,013.00","39,802,765.86"
2565,002564,7/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, PIPE 114.3MM OD X 8.6MM WT-API 5L GR. X5 GRADE : S355JR  #NON COMMERCIAL VALUE",7.00,PCE,"1,866.45","1,866.45","3,232.69",USD,"15,013.00","48,532,374.97"
2566,002565,7/10/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","3,722.00",TNE,"3,722,000.00","3,722,000.00","31,264.80",SGD,"11,097.07","346,947,674.14"
2567,002566,7/10/2023,PT PACIFIC GRANITAMA,Pan-United Asphalt Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,444.00",TNE,"4,444,000.00","4,444,000.00","43,106.80",SGD,"11,097.07","478,359,177.08"
2568,002569,7/10/2023,PT. MIRASINDO PERDANA,Batu Ayer Granite Pte Ltd,"Batu Granit Ukuran 1/4""-3/4""","4,333.00",TNE,"4,333,000.00","4,333,000.00","38,997.00",SGD,"11,097.07","432,752,438.79"
2569,002570,7/10/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","2,624,000.00",KGM,"2,624,000.00","2,624,000.00","22,566.40",SGD,"11,097.07","250,420,920.45"
2570,002571,7/10/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,543,000.00",KGM,"4,543,000.00","4,543,000.00","39,069.80",SGD,"11,097.07","433,560,305.49"
2571,002577,7/10/2023,PT. FAGIOLI LIFTING AND TRANSPORTASI INDONESIA,FAGIOLI ASIA PTE LTD,TPLT SPARE PARTS BOX AND SET - 1 CASE,1.00,CS,386.00,386.00,"13,750.00",EUR,"16,380.38","225,230,225.00"
2572,002577,7/10/2023,PT. FAGIOLI LIFTING AND TRANSPORTASI INDONESIA,FAGIOLI ASIA PTE LTD,"TRANSITION PIECE LIFTING TOOL SET CONSISTS OF : SLIDING ARM A -1 PALLET , SLIDING B -1 PALLET, SLIDING C -1 PALLET , PANEL AND CENTRE LINK -1 PALLET ,TRANSITION PIECE LIFTING TOOL ARMS SUPPORT -1 PALLET , 3 PIECES OF 300 WLL WIDE BODY SHACKLES -1 PALLET",1.00,SET,"18,650.00","18,650.00","590,400.00",EUR,"16,380.38","9,670,976,352.00"
2573,002577,7/10/2023,PT. FAGIOLI LIFTING AND TRANSPORTASI INDONESIA,FAGIOLI ASIA PTE LTD,TPLT TOOL SET - 1 CASE,1.00,CS,308.00,308.00,895.00,EUR,"16,380.38","14,660,440.10"
2574,002581,7/11/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,608,000.00",KGM,"4,608,000.00","4,608,000.00","39,628.80",SGD,"11,097.07","439,763,567.62"
2575,002582,7/11/2023,PT. MIRASINDO PERDANA,Batu Ayer Granite Pte Ltd,"Batu Granit Ukuran 1/4""-3/4""","3,700.00",TNE,"3,700,000.00","3,700,000.00","33,300.00",SGD,"11,097.07","369,532,431.00"
2576,002583,7/11/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,478.00",TNE,"4,478,000.00","4,478,000.00","43,436.60",SGD,"11,097.07","482,018,990.76"
2577,002584,7/11/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,384.00",TNE,"4,384,000.00","4,384,000.00","42,524.80",SGD,"11,097.07","471,900,682.34"
2578,002585,7/11/2023,PT PACIFIC GRANITAMA,TG Global Resources Pte Ltd,"Batu Granit Ukuran 3/15""- 1.1/2""","4,893.00",TNE,"4,893,000.00","4,893,000.00","31,804.50",SGD,"11,097.07","352,936,762.82"
2579,002586,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, TOTAL STATION, MODEL : TS16 I 1"" R1000, SERIAL NO : 3015885, TOTAL STATION, MODEL : TS16 I 1"" R1000, SERIAL NO : 3015886, BATTERY CHARGER LEICA,TYPE:BKL311-ART NO :799185 #NON COMMERCIAL VALUE",1.00,BX,50.00,50.00,"30,400.00",EUR,"16,380.38","497,963,552.00"
2580,002587,7/11/2023,PT. SAIPEM INDONESIA,INTERTEK TESTING SERVICES (S) PTE LTD,"NEW, 2NR OF BOTTLE (1000ML) OIL/DIESEL FOR TEST ANALYSIS AS PER SAMPLE",1.00,BX,2.00,2.00,10.00,USD,"15,013.00","150,130.00"
2581,002588,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, GRIPPER CYLINDER GASKET KIT #NON COMMERCIAL VALUE",3.00,EA,5.00,5.00,"2,042.82",USD,"15,013.00","30,668,856.66"
2582,002588,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, LEVELLING CYLINDER GASKET KIT #NON COMMERCIAL VALUE",2.00,EA,5.00,5.00,"1,441.42",USD,"15,013.00","21,640,038.46"
2583,002588,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, GRATING DISK TYPE X-FCM-R 35/40 MATERIAL : AISI 316 L #NON COMMERCIAL VALUE",600.00,EA,20.00,20.00,"60,660.00",USD,"15,013.00","910,688,580.00"
2584,002588,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, 2194344 THREADED STUD X-BT-GR M8/7 SN 8, 10 PACK #NON COMMERCIAL VALUE","1,000.00",EA,20.00,20.00,"12,880.00",USD,"15,013.00","193,367,440.00"
2585,002588,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, FCAWGS ¿1.2 MM E81T1-C1A8-NI1H4 OERLIKON CITOFLUX R83C HN: P1FC230023 #NON COMMERCIAL VALUE",63.00,CT,"1,028.00","1,028.00","5,993.24",USD,"15,013.00","89,976,512.12"
2586,002589,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, 1 BOX CONSIST OF :, 1 PC PU FLOATEX BT - 77 (NAMASTE NO.2501171 ),  2 PCS NORWEGIAN BUOY #NON COMMERCIAL VALUE",1.00,BX,70.00,70.00,"1,000.00",USD,"15,013.00","15,013,000.00"
2587,002592,7/11/2023,PT. SAIPEM INDONESIA,AIR LIQUIDE SINGAPORE PTE LTD,"USED, EMPTY ARGON NORMAL RACK (16 CYLINDER/RACK): AL0384, AL0372, AL7185 #NON COMMERCIAL VALUE",3.00,RA,"3,900.00","3,900.00","1,500.00",USD,"15,013.00","22,519,500.00"
2588,002592,7/11/2023,PT. SAIPEM INDONESIA,AIR LIQUIDE SINGAPORE PTE LTD,"USED, EMPTY ACETYLINE RACK (12 CYLINDER/RACK): AL2460, AL6252, AL6256#NON COMMERCIAL VALUE",3.00,RA,"2,700.00","2,700.00","1,500.00",USD,"15,013.00","22,519,500.00"
2589,002592,7/11/2023,PT. SAIPEM INDONESIA,AIR LIQUIDE SINGAPORE PTE LTD,"USED, EMPTY CO2 31 KG RACK (16 CYLINDER/RACK): AL3581, AL3770, AL2313, AL2181, AL7313, AL3558, AL1845, TR86, AL1678, AL0129, AL1187, AL2375, AL2324, AL3939, AL2419, AL0542 #NON COMMERCIAL VALUE",16.00,RA,"20,800.00","20,800.00","8,000.00",USD,"15,013.00","120,104,000.00"
2590,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 2 VALVE DUAL PLATE CHECK WAFER - CL1500 - API 594 - LUGGED TYPE  #NON COMMERCIAL VALUE",1.00,PCE,10.00,10.00,"1,010.00",USD,"15,013.00","15,163,130.00"
2591,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 1 - SCH/WT: S-160 PIPE ASTM A106-B BE NACE MR0175/ISO 15156_SMLS ASME B36.10M - 5METER #NON COMMERCIAL VALUE",1.00,PCE,5.00,5.00,46.85,USD,"15,013.00","703,359.05"
2592,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: .75 - SCH/WT: S-80S PIPE ASTM A312-TP316/316L SMLS DUAL GRADE BE SEAMLESS¿ ASME B36.19M  500MM #NON COMMERCIAL VALUE",1.00,PCE,10.00,10.00,12.69,USD,"15,013.00","190,514.97"
2593,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 1.5 - SCHED.1 S-2.5NPS2: 1 - SCHED.2 S-2.5 CONCENTRIC REDUCER 15 BARS SW / SW CU / NI 90-10 UNS 7060X - EEMUA PUB N¿ 234  #NON COMMERCIAL VALUE",1.00,PCE,5.00,5.00,34.00,USD,"15,013.00","510,442.00"
2594,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 2 COUPLING 15 BARS SW / SW CU / NI 90-10 UNS 7060X - EEMUA PUB N¿ 234 #NON COMMERCIAL VALUE",2.00,PCE,10.00,10.00,110.60,USD,"15,013.00","1,660,437.80"
2595,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 1 - SCH./WT: S-2.5 NIPPLE - PE / PE CU / NI 90-10 UNS 7060X SMLS - 15 BARS EEMUA PUB N¿ 234 LENGTH 100 MM  #NON COMMERCIAL VALUE",5.00,PCE,25.00,25.00,54.00,USD,"15,013.00","810,702.00"
2596,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 1 - SCH./WT: S-160 NIPPLE - MTE / M TE A106-B GALV A153 CL. #NON COMMERCIAL VALUE",1.00,PCE,5.00,5.00,6.26,USD,"15,013.00","93,981.38"
2597,002593,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 1 - SCH/WT: S-160 PIPE ASTM A106-B BE NACE MR0175/ISO 15156_SMLS ASME B36.10M - 5METER #NON COMMERCIAL VALUE",1.00,PCE,5.00,5.00,46.85,USD,"15,013.00","703,359.05"
2598,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO: 225LT-49175A, EXTERNAL BYPASS CHAMBER - TAG NO:  225LT-49175B, EXTERNAL BYPASS CHAMBER - TAG NO: 225LT-49175C, EXTERNAL BYPASS CHAMBER - TAG NO: 260LT-49175C  #NON COMMERCIAL VALUE",1.00,BX,320.00,320.00,"8,000.00",USD,"15,013.00","120,104,000.00"
2599,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO:  272LT-49007 #NON COMMERCIAL VALUE",1.00,EA,120.00,120.00,"1,500.00",USD,"15,013.00","22,519,500.00"
2600,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO: 223LT-49007 #NON COMMERCIAL VALUE",1.00,EA,120.00,120.00,"2,000.00",USD,"15,013.00","30,026,000.00"
2601,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO: 270LT-49007 #NON COMMERCIAL VALUE",1.00,EA,120.00,120.00,"1,500.00",USD,"15,013.00","22,519,500.00"
2602,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO: 220LT-49175A, EXTERNAL BYPASS CHAMBER - TAG NO:  230LT-49175A, EXTERNAL BYPASS CHAMBER - TAG NO:  230LT-49175B, EXTERNAL BYPASS CHAMBER - TAG NO: 230LT-49175C #NON COMMERCIAL VALUE",1.00,BX,320.00,320.00,"8,000.00",USD,"15,013.00","120,104,000.00"
2603,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO: 260LT-49175B  , EXTERNAL BYPASS CHAMBER - TAG NO: 260LT-49175A, EXTERNAL BYPASS CHAMBER - TAG NO: 228LT-49007 , EXTERNAL BYPASS CHAMBER - TAG NO:  233LT49 007 #NON COMMERCIAL VALUE",1.00,BX,320.00,320.00,"7,500.00",USD,"15,013.00","112,597,500.00"
2604,002594,7/11/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, EXTERNAL BYPASS CHAMBER - TAG NO:  210LT-49008 #NON COMMERCIAL VALUE",1.00,EA,120.00,120.00,"1,500.00",USD,"15,013.00","22,519,500.00"
2605,002595,7/11/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE         3/16""   (NEW)","2,301,000.00",KGM,"2,301,000.00","2,301,000.00","17,717.70",SGD,"11,097.07","196,614,557.14"
2606,002595,7/11/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE          5/8""   (NEW)","2,001,000.00",KGM,"2,001,000.00","2,001,000.00","19,009.50",SGD,"11,097.07","210,949,752.17"
2607,002596,7/11/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","3,699,000.00",KGM,"3,699,000.00","3,699,000.00","27,742.50",SGD,"11,097.07","307,860,464.47"
2608,002600,7/12/2023,PT PACIFIC GRANITAMA,TG Global Resources Pte Ltd,"Batu Granit Ukuran 3/15""- 1.1/2""","3,475.00",TNE,"3,475,000.00","3,475,000.00","22,587.50",SGD,"11,142.98","251,692,060.75"
2609,002601,7/12/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","3,327.00",TNE,"3,327,000.00","3,327,000.00","27,946.80",SGD,"11,142.98","311,410,633.46"
2610,002603,7/12/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,543,000.00",KGM,"4,543,000.00","4,543,000.00","39,069.80",SGD,"11,142.98","435,354,000.00"
2611,002605,7/12/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE         1/4""  -  3/4""   (NEW)","4,310,000.00",KGM,"4,310,000.00","4,310,000.00","40,945.00",SGD,"11,142.98","456,249,316.10"
2612,002608,7/12/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","3,507,000.00",TNE,"3,507,000.00","3,507,000.00","34,017.90",SGD,"11,142.98","379,060,779.34"
2613,002610,7/12/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","2,624,000.00",KGM,"2,624,000.00","2,624,000.00","19,680.00",SGD,"11,142.98","219,293,846.40"
2614,002612,7/13/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 3/16"" (NEW)","4,333.00",TNE,"4,333,000.00","4,333,000.00","33,364.10",SGD,"11,142.98","371,775,499.02"
2615,002614,7/13/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4""  (NEW)","4,355.00",TNE,"4,355,000.00","4,355,000.00","41,372.50",SGD,"11,142.98","461,012,940.05"
2616,002615,7/13/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,320,000.00",KGM,"4,320,000.00","4,320,000.00","37,152.00",SGD,"11,142.98","413,983,992.96"
2617,002616,7/13/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,482.00",TNE,"4,482,000.00","4,482,000.00","43,475.40",SGD,"11,142.98","484,445,512.69"
2618,002617,7/13/2023,PT PACIFIC GRANITAMA,Pan-United Asphalt Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,390.00",TNE,"4,390,000.00","4,390,000.00","42,583.00",SGD,"11,142.98","474,501,517.34"
2619,002625,7/13/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE           1/4""  -  3 /4""  (NEW)","4,570,000.00",KGM,"4,570,000.00","4,570,000.00","43,415.00",SGD,"11,142.98","483,772,476.70"
2620,002627,7/13/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","3,699,000.00",KGM,"3,699,000.00","3,699,000.00","27,742.50",SGD,"11,142.98","309,134,122.65"
2621,002629,7/14/2023,PT OILTANKING KARIMUN QQ ITG RESOURCES (SINGAPORE) PTE. LTD.,TO THE ORDER OF ITG RESOURCES (SINGAPORE) PTE.LTD,HIGH SPEED DIESEL OIL 50PPM,"11,238.22",BLL,"1,492,340.00","1,492,340.00","1,078,138.64",USD,"15,053.00","16,229,220,947.92"
2622,002630,7/14/2023,PT OILTANKING KARIMUN QQ ITG RESOURCES (SINGAPORE) PTE. LTD.,TO THE ORDER OF ITG RESOURCES (SINGAPORE) PTE.LTD,HIGH SPEED DIESEL OIL 500PPM,"33,745.35",BLL,"4,433,466.00","4,433,466.00","3,210,363.87",USD,"15,053.00","48,325,607,335.11"
2623,002631,7/14/2023,PT OILTANKING KARIMUN QQ EASTPEC TRADING PTE LTD,EASTPEC TRADING PTE LTD,FUEL OIL (RESIDUAL),"3,447.18",BLL,"466,091.00","466,091.00","186,436.40",USD,"15,053.00","2,806,427,129.20"
2624,002633,7/14/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","4,508.00",TNE,"4,508,000.00","4,508,000.00","42,826.00",SGD,"11,142.98","477,209,261.48"
2625,002634,7/14/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 3/16"" (NEW)","3,412.00",TNE,"3,412,000.00","3,412,000.00","26,272.40",SGD,"11,142.98","292,752,827.75"
2626,002635,7/14/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,543,000.00",KGM,"4,543,000.00","4,543,000.00","39,069.80",SGD,"11,142.98","435,354,000.00"
2627,002637,7/14/2023,PT PACIFIC GRANITAMA,Pan-United Asphalt Pte Ltd,"Batu Granit Ukuran 3/16""","4,444.00",TNE,"4,444,000.00","4,444,000.00","37,329.60",SGD,"11,142.98","415,962,986.21"
2628,002638,7/14/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","3,722.00",TNE,"3,722,000.00","3,722,000.00","36,103.40",SGD,"11,142.98","402,299,464.13"
2629,002640,7/14/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","2,624,000.00",KGM,"2,624,000.00","2,624,000.00","19,680.00",SGD,"11,142.98","219,293,846.40"
2630,002643,7/15/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,608,000.00",KGM,"4,608,000.00","4,608,000.00","39,628.80",SGD,"11,142.98","441,582,925.82"
2631,002644,7/15/2023,PT. MIRASINDO PERDANA,Batu Ayer Granite Pte Ltd,"Batu Granit Ukuran 1/4""-3/4""","3,700.00",TNE,"3,700,000.00","3,700,000.00","33,300.00",SGD,"11,142.98","371,061,234.00"
2632,002646,7/15/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 3/15"" - 1 1/2"" (NEW)","1,002.00",TNE,"1,002,000.00","1,002,000.00","8,517.00",SGD,"11,142.98","94,904,760.66"
2633,002646,7/15/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","3,346.00",TNE,"3,346,000.00","3,346,000.00","31,787.00",SGD,"11,142.98","354,201,905.26"
2634,002647,7/15/2023,PT PACIFIC GRANITAMA,Pan-United Asphalt Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,478.00",TNE,"4,478,000.00","4,478,000.00","43,436.60",SGD,"11,142.98","484,013,165.07"
2635,002648,7/15/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,384.00",TNE,"4,384,000.00","4,384,000.00","42,524.80",SGD,"11,142.98","473,852,995.90"
2636,002649,7/15/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","3,699,000.00",KGM,"3,699,000.00","3,699,000.00","31,811.40",SGD,"11,142.98","354,473,793.97"
2637,002651,7/15/2023,PT. MIRASINDO PERDANA,TG Global Resources Pte Ltd,Batu Granit 100Kg - 500Kg,"3,519.00",TNE,"3,519,000.00","3,519,000.00","58,063.50",SGD,"11,142.98","647,000,419.23"
2638,002660,7/15/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE           3/16""  (NEW)","4,302,000.00",KGM,"4,302,000.00","4,302,000.00","33,125.40",SGD,"11,142.98","369,115,669.69"
2639,002667,7/16/2023,PT. MIRASINDO PERDANA,Batu Ayer Granite Pte Ltd,"Batu Granit Ukuran 3/16""","3,409.00",TNE,"3,409,000.00","3,409,000.00","23,863.00",SGD,"11,142.98","265,904,931.74"
2640,002668,7/16/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/15"" - 1 1/2"" ( NEW )","4,320,000.00",KGM,"4,320,000.00","4,320,000.00","26,784.00",SGD,"11,142.98","298,453,576.32"
2641,002669,7/16/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,543,000.00",KGM,"4,543,000.00","4,543,000.00","39,069.80",SGD,"11,142.98","435,354,000.00"
2642,002671,7/16/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","4,301.00",TNE,"4,301,000.00","4,301,000.00","40,859.50",SGD,"11,142.98","455,296,591.31"
2643,002672,7/16/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","4,482.00",TNE,"4,482,000.00","4,482,000.00","37,648.80",SGD,"11,142.98","419,519,825.42"
2644,002673,7/16/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","3,507.00",TNE,"3,507,000.00","3,507,000.00","34,017.90",SGD,"11,142.98","379,060,779.34"
2645,002675,7/16/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE         1/4""  -  3/4""   (NEW)","4,310,000.00",KGM,"4,310,000.00","4,310,000.00","40,945.00",SGD,"11,142.98","456,249,316.10"
2646,002682,7/17/2023,PT PACIFIC GRANITAMA,TG Global Resources Pte Ltd,"Batu Granit Ukuran 3/15""- 1.1/2""","4,893.00",TNE,"4,893,000.00","4,893,000.00","31,804.50",SGD,"11,142.98","354,396,907.41"
2647,002686,7/17/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","4,539.00",TNE,"4,539,000.00","4,539,000.00","43,120.50",SGD,"11,142.98","480,490,869.09"
2648,002688,7/17/2023,PT. SAIPEM INDONESIA,LEEDEN NATIONAL OXYGEN LTD,"USED, EMPTY NORMAL ARGON RACK (16 CYLINDER/RACK): 24293, 27501, 24739, 21355, 20122, 27150, 28043, 28332, 28027, 21563, 29275, 21637, 29371, 20011, 26404, 29067, 28022, 25099, 25050, 29087, 29244, n830415 #NON COMMERCIAL VALUE",22.00,RA,"28,600.00","28,600.00","11,000.00",USD,"15,053.00","165,583,000.00"
2649,002689,7/17/2023,PT. SAIPEM INDONESIA,AIR LIQUIDE SINGAPORE PTE LTD,"USED, EMPTY CO2 31 KG RACK (16 CYLINDER/RACK): AL2307, AL3906, AL2388, AL1741, AL0783, AL0487, AL5894, AL7314, AL2333 #NON COMMERCIAL VALUE
",9.00,RA,"11,700.00","11,700.00","4,500.00",USD,"15,053.00","67,738,500.00"
2650,002689,7/17/2023,PT. SAIPEM INDONESIA,AIR LIQUIDE SINGAPORE PTE LTD,"USED, EMPTY ARGON NORMAL RACK (16 CYLINDER/RACK): AL0046, AL7182, AL2960, AL2298, AL7188, AL0493, AL0435, AL0184, AL3728, AL7189, AL0539, AL3732, AL1345 #NON COMMERCIAL VALUE
",13.00,RA,"16,900.00","16,900.00","6,500.00",USD,"15,053.00","97,844,500.00"
